date,Mkt-RF,SMB,HML,RF,Mkt
200202,-2.29,-1.1,2.5,0.13,-2.16
200203,4.24,4.24,1.1,0.13,4.37
200204,-5.2,5.94,3.93,0.15,-5.05
200205,-1.38,-3.22,1.71,0.14,-1.24
200206,-7.21,4.26,0.15,0.13,-7.08
200207,-8.18,-5.3,-3.41,0.15,-8.03
200208,0.5,-2.43,2.48,0.14,0.64
200209,-10.35,2.57,1.31,0.14,-10.21
200210,7.84,-2.91,-5.44,0.14,7.98
200211,5.96,2.84,-1.14,0.12,6.08
200212,-5.76,0,2.25,0.11,-5.65
200301,-2.57,1.39,-0.94,0.1,-2.47
200302,-1.88,-0.36,-1.43,0.09,-1.79
200303,1.09,0.9,-2.1,0.1,1.19
200304,8.22,0.55,1.05,0.1,8.32
200305,6.05,4.7,-0.3,0.09,6.14
200306,1.42,1.66,0.68,0.1,1.52
200307,2.35,5.35,-1.08,0.07,2.42
200308,2.34,2.69,2.1,0.07,2.41
200309,-1.24,0.77,0,0.08,-1.16
200310,6.08,2.84,1.88,0.07,6.15
200311,1.35,2.16,1.95,0.07,1.42
200312,4.29,-3.07,2.39,0.08,4.37
200401,2.15,2.76,1.95,0.07,2.22
200402,1.4,-1.43,0.5,0.06,1.46
200403,-1.32,1.76,0.23,0.09,-1.23
200404,-1.83,-2.1,-2.65,0.08,-1.75
200405,1.17,-0.18,-0.36,0.06,1.23
200406,1.86,2.23,1.34,0.08,1.94
200407,-4.06,-3.79,4.11,0.1,-3.96
200408,0.08,-1.58,0.97,0.11,0.19
200409,1.6,3.04,-0.24,0.11,1.71
200410,1.43,0.31,-0.61,0.11,1.54
200411,4.54,3.9,1.81,0.15,4.69
